id,holiday,date
1,Confraternização Universal,2023-01-01
2,Carnaval,2023-02-20
3,Carnaval,2023-02-21
4,Paixão de Cristo,2023-04-07
5,Tiradentes,2023-04-21
6,Dia do Trabalho,2023-05-01
7,Corpus Christi,2023-06-08
8,Independência do Brasil,2023-09-07
9,Nossa Sr.a Aparecida - Padroeira do Brasil,2023-10-12
10,Finados,2023-11-02
11,Proclamação da República,2023-11-15
12,Natal,2023-12-25
13,Confraternização Universal,2024-01-01
14,Carnaval,2024-02-12
15,Carnaval,2024-02-13
16,Paixão de Cristo,2024-03-29
17,Tiradentes,2024-04-21
18,Dia do Trabalho,2024-05-01
19,Corpus Christi,2024-05-30
20,Independência do Brasil,2024-09-07
21,Nossa Sr.a Aparecida - Padroeira do Brasil,2024-10-12
22,Finados,2024-11-02
23,Proclamação da República,2024-11-15
24,Natal,2024-12-25
25,Confraternização Universal,2025-01-01
26,Carnaval,2025-03-03
27,Carnaval,2025-03-04
28,Paixão de Cristo,2025-04-18
29,Tiradentes,2025-04-21
30,Dia do Trabalho,2025-05-01
31,Corpus Christi,2025-06-19
32,Independência do Brasil,2025-09-07
33,Nossa Sr.a Aparecida - Padroeira do Brasil,2025-10-12
34,Finados,2025-11-02
35,Proclamação da República,2025-11-15
36,Natal,2025-12-25
37,Confraternização Universal,2026-01-01
38,Carnaval,2026-02-16
39,Carnaval,2026-02-17
40,Paixão de Cristo,2026-04-03
41,Tiradentes,2026-04-21
42,Dia do Trabalho,2026-05-01
43,Corpus Christi,2026-06-04
44,Independência do Brasil,2026-09-07
45,Nossa Sr.a Aparecida - Padroeira do Brasil,2026-10-12
46,Finados,2026-11-02
47,Proclamação da República,2026-11-15
48,Natal,2026-12-25
49,Confraternização Universal,2027-01-01
50,Carnaval,2027-02-08
51,Carnaval,2027-02-09
52,Paixão de Cristo,2027-03-26
53,Tiradentes,2027-04-21
54,Dia do Trabalho,2027-05-01
55,Corpus Christi,2027-05-27
56,Independência do Brasil,2027-09-07
57,Nossa Sr.a Aparecida - Padroeira do Brasil,2027-10-12
58,Finados,2027-11-02
59,Proclamação da República,2027-11-15
60,Natal,2027-12-25
61,Confraternização Universal,2028-01-01
62,Carnaval,2028-02-28
63,Carnaval,2028-02-29
64,Paixão de Cristo,2028-04-14
65,Tiradentes,2028-04-21
66,Dia do Trabalho,2028-05-01
67,Corpus Christi,2028-06-15
68,Independência do Brasil,2028-09-07
69,Nossa Sr.a Aparecida - Padroeira do Brasil,2028-10-12
70,Finados,2028-11-02
71,Proclamação da República,2028-11-15
72,Natal,2028-12-25
73,Confraternização Universal,2029-01-01
74,Carnaval,2029-02-12
75,Carnaval,2029-02-13
76,Paixão de Cristo,2029-03-30
77,Tiradentes,2029-04-21
78,Dia do Trabalho,2029-05-01
79,Corpus Christi,2029-05-31
80,Independência do Brasil,2029-09-07
81,Nossa Sr.a Aparecida - Padroeira do Brasil,2029-10-12
82,Finados,2029-11-02
83,Proclamação da República,2029-11-15
84,Natal,2029-12-25
85,Confraternização Universal,2030-01-01
86,Carnaval,2030-03-04
87,Carnaval,2030-03-05
88,Paixão de Cristo,2030-04-19
89,Tiradentes,2030-04-21
90,Dia do Trabalho,2030-05-01
91,Corpus Christi,2030-06-20
92,Independência do Brasil,2030-09-07
93,Nossa Sr.a Aparecida - Padroeira do Brasil,2030-10-12
94,Finados,2030-11-02
95,Proclamação da República,2030-11-15
96,Natal,2030-12-25
